Level1
Portal,90.0,30.0
Player,143.56819,-14.893376,3,5
Cyborg,90.29552,-15.365005
Cyborg,70.25655,-15.365005
Alien,-394.71506,-14.585001
Alien,86.997314,-258.5691
Alien,287.00333,-258.5691
Alien,487.007,-258.5691
Alien,687.0015,-258.5691
Alien,886.9869,-258.5691
Alien,1086.986,-258.5691
Alien,1286.986,-258.5691
Diamonds,-21.430601,-7.289106
Diamonds,83.12431,-18.898115
Diamonds,38.574276,5.7108874
Diamonds,78.56916,-7.289117
Diamonds,98.56915,-7.289117
Diamonds,138.57274,5.710882
Diamonds,178.5697,3.7109482
Diamonds,198.56969,3.7109482
Diamonds,238.56955,2.7109547
Diamonds,258.5705,2.7109282
Diamonds,278.57037,-18.889074
Diamonds,298.56854,4.7109284
Diamonds,318.57037,-18.889074
Diamonds,338.57037,-18.889074
Diamonds,358.57037,-18.889074
Diamonds,378.57037,-18.889074
Tools,28.292696,6.087241
Alien,172.27089,-14.585001
